Date,Open
27,153.75
26,153.35
25,151.8
24,150.58
21,149.99
20,151.5
19,150.48
18,149.2
17,148.82
14,147.97
13,145.5
12,145.87
11,144.73
10,144.11
7,142.9
6,143.02
5,143.69
3,144.88
